47439,A池刘村-HLHF,宏站,华为
124690,A池刘庄-HLHF,宏站,华为
273937,A池洪阳吴庄隧道西口-HLHF,宏站,华为
5882,A池洪阳营业厅小基站-HLWE,室分,华为
15487,A池杜沟-HLHF,宏站,华为
124686,A池杨河村-HLHF,宏站,华为
124691,A池崤店-HLHF,宏站,华为
273934,A池雷沟-HLHF,宏站,华为
47469,B马郭庄-HLHF,宏站,华为
274143,B马煤气化三期-HLWE,室分,华为
259627,B马煤气化三期-HLHF,宏站,华为
5674,A池塬上-HLHF,宏站,华为
47470,B马南河-HLHF,宏站,华为
15427,B马鑫星煤矿-HLHF,宏站,华为
15338,A池雪白-HLHF,宏站,华为
15293,A池东杨村-HLHF,宏站,华为
253949,B马常村-HLHF,宏站,华为
47467,B马常村派出所-HLHF,宏站,华为
124713,B马河口村-HLHF,宏站,华为
15319,A池芮沟-HLHF,宏站,华为
47468,B马东区小学-HLHF,宏站,华为
259658,A池仁村中学-HLHF,宏站,华为
259761,B马毛沟棚户区-HLHF,宏站,华为
253950,B马予西宾馆-HLHF,宏站,华为
15291,A池大水沟-HLHF,宏站,华为
